cell_type	cell_type_ontology_term_id	collection_name	dataset_title	count
cortical interneuron	CL:0008031	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	5769
vip GABAergic cortical interneuron	CL:4023016	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	5735
L6 corticothalamic-projecting glutamatergic cortical neuron	CL:4023042	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	5343
sst GABAergic cortical interneuron	CL:4023017	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	5101
lamp5 GABAergic cortical interneuron	CL:4023011	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	4430
L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023050	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	4394
glutamatergic neuron	CL:0000679	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	4187
astrocyte	CL:0000127	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	3899
pvalb GABAergic cortical interneuron	CL:4023018	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	3581
hippocampal neuron	CL:0002608	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	2815
L5/6 near-projecting glutamatergic neuron of the primary motor cortex	CL:4023043	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	2424
L6b glutamatergic cortical neuron	CL:4023038	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	2348
L5 extratelencephalic projecting glutamatergic cortical neuron	CL:4023041	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	2139
sst chodl GABAergic cortical interneuron	CL:4023121	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	1961
pyramidal neuron	CL:0000598	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	1960
sncg GABAergic cortical interneuron	CL:4023015	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	1419
corticothalamic-projecting glutamatergic cortical neuron	CL:4023013	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	1187
astrocyte	CL:0000127	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	963
endothelial cell	CL:0000115	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	960
central nervous system macrophage	CL:0000878	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	955
L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023047	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	593
glutamatergic neuron	CL:0000679	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	471
pericyte	CL:0000669	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	288
Cajal-Retzius cell	CL:0000695	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	277
sst chodl GABAergic cortical interneuron	CL:4023121	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	265
oligodendrocyte	CL:0000128	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	229
endothelial cell	CL:0000115	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	193
central nervous system macrophage	CL:0000878	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	177
cortical interneuron	CL:0008031	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	158
vascular leptomeningeal cell (Mmus)	CL:4023056	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	152
meis2 expressing cortical GABAergic cell	CL:4023065	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	130
pericyte	CL:0000669	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	121
vascular leptomeningeal cell (Mmus)	CL:4023056	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	116
Cajal-Retzius cell	CL:0000695	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	38
meis2 expressing cortical GABAergic cell	CL:4023065	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	20
